Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Toxotidae,"Toxotes oligolepis","Bleeker, 1876"," Fr",native,,,"15.00 cm TL male/unsexed ",,"Known from the Molucca Is. (Ref. 12912).","No picture yet."
Trachichthyidae,"Aulotrachichthys latus","(Fowler, 1938)"," M",native,,,"5.10 cm SL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: CSIRO CA1545 (Ref. 5978); Celebes Sea (Ref. 130070).","No picture yet."
Trachichthyidae,"Hoplostethus melanopus","(Weber, 1913)"," M",native,,,"25.00 cm TL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Homel_u1.jpg"", ""Open image"")"
Trachichthyidae,"Hoplostethus platynotus","Su, Kotlyar, Lin, Kawai & Ho, 2024"," M",native," Flatbacked black-fin roughy (English)",,"23.00 cm SL male/unsexed ",,"Type locality of Hoplostethus platynotus from off Sumatra (Ref. 133164).","No picture yet."
Trachichthyidae,"Hoplostethus rubellopterus","Kotlyar, 1980"," M",native,,,"10.50 cm SL male/unsexed ",,,"No picture yet."
Trachichthyidae,"Hoplostethus shubnikovi","Kotlyar, 1980"," M",native,,,"20.30 cm SL male/unsexed ",,,"No picture yet."
Trachipteridae,"Desmodema polystictum","(Ogilby, 1898)"," M",native,,,"110 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Museum: NTM S.11036-001 (TGT1560).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Depol_u3.jpg"", ""Open image"")"
Trachipteridae,"Trachipterus trachypterus","(Gmelin, 1789)"," M",native,,,"300 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait. Museum: BMNH 1984.1.1.62 (TGT (PJPW) 834).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Trtra_u8.jpg"", ""Open image"")"
Triacanthidae,"Pseudotriacanthus strigilifer","(Cantor, 1849)"," M, Fi",native," Golden triplespine (English)",,"25.00 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: LPPL JIF148 (TGT3334). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Psstr_u1.jpg"", ""Open image"")"
Triacanthidae,"Triacanthus biaculeatus","(Bloch, 1786)"," Br, M, Fi",native," Songo langit (Malay), Sokang (Malay), Sunyang langit (Malay)",,"30.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea (Ref. 5978). Museum: CSIRO CA1267.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Trbia_u3.jpg"", ""Open image"")"
